geo,TIME_PERIOD,gdp,plastic_waste_kg,recycling_rate,population,total_waste_kg,recycled_kg,unrecycled_kg,unrecycled_kg_per_capita
Austria,2011,36740,31.48,0.348,,0,0, -   ,20.52
Austria,2012,37570,32.24,0.347,,0,0, -   ,21.05
Austria,2013,37890,34.05,0.344,,0,0, -   ,22.34
Austria,2014,38640,34.16,0.336,,0,0, -   ,22.68
Austria,2015,39640,34.12,0.336,8581500," 292,800,780 "," 98,381,062 "," 194,419,718 ",22.66
Austria,2016,40690,34.09,0.336,8711500," 296,975,035 "," 99,783,612 "," 197,191,423 ",22.64
Austria,2017,41760,34.36,0.334,8752500," 300,735,900 "," 100,445,791 "," 200,290,109 ",22.88
Austria,2018,43360,34.16,0.319,8802000," 300,676,320 "," 95,915,746 "," 204,760,574 ",23.26
Austria,2019,44570,33.31,0.308,8842000," 294,527,020 "," 90,714,322 "," 203,812,698 ",23.05
Austria,2020,42650,33.55,0.316,8897000," 298,494,350 "," 94,324,215 "," 204,170,135 ",22.95
Austria,2021,45380,33.67,0.304,8926000," 300,538,420 "," 91,363,680 "," 209,174,740 ",23.43
Austria,2022,49490,33.17,0.254,8967500," 297,451,975 "," 75,552,802 "," 221,899,173 ",24.74
Belgium,2011,34310,28.62,0.414,, -   , -   , -   ,16.77
Belgium,2012,34930,28.85,0.415,, -   , -   , -   ,16.88
Belgium,2013,35360,29.51,0.39,, -   , -   , -   ,18.00
Belgium,2014,36130,29.36,0.418,, -   , -   , -   ,17.09
Belgium,2015,36860,30.13,0.426,11258434," 339,216,616 "," 144,506,279 "," 194,710,338 ",17.29
Belgium,2016,37810,30.28,0.434,11289853," 341,856,749 "," 148,365,829 "," 193,490,920 ",17.14
Belgium,2017,38980,30.36,0.445,11365834," 345,066,720 "," 153,554,691 "," 191,512,030 ",16.85
Belgium,2018,40210,30.4,0.424,11413058," 346,956,963 "," 147,109,752 "," 199,847,211 ",17.51
Belgium,2019,41730,30.57,0.473,11467923," 350,574,406 "," 165,821,694 "," 184,752,712 ",16.11
Belgium,2020,40190,32,0.447,11549888," 369,596,416 "," 165,209,598 "," 204,386,818 ",17.70
Belgium,2021,43680,32.02,0.492,11566041," 370,344,633 "," 182,209,559 "," 188,135,073 ",16.27
Belgium,2022,48260,31.36,0.542,11631136,364752425,197695814.3," 167,056,611 ",14.36
Bulgaria,2011,5640,12.92,0.392,,0,0, -   ,7.86
Bulgaria,2012,5820,13.16,0.407,,0,0, -   ,7.80
Bulgaria,2013,5870,13.48,0.413,,0,0, -   ,7.91
Bulgaria,2014,6080,14.43,0.641,,0,0, -   ,5.18
Bulgaria,2015,6560,14.25,0.608,7202198,102631321.5,62399843.47," 40,231,478 ",5.59
Bulgaria,2016,7070,15.7,0.526,7153784,112314408.8,59077379.03," 53,237,030 ",7.44
Bulgaria,2017,7720,17.63,0.648,7101859,125205774.2,81133341.66," 44,072,433 ",6.21
Bulgaria,2018,8360,19.57,0.592,7050034,137969165.4,81677745.9," 56,291,419 ",7.98
Bulgaria,2019,9270,24.62,0.506,7000039,172340960.2,87204525.85," 85,136,434 ",12.16
Bulgaria,2021,10970,23.25,0.471,6951482,161621956.5,76123941.51," 85,498,015 ",12.30
Bulgaria,2022,13310,22.95,0.395,6916548,158734776.6,62700236.76," 96,034,540 ",13.88
Cyprus,2011,23340,17.85,0.38,6838937,122075025.5,46388509.67," 75,686,516 ",11.07
Cyprus,2012,22610,17.62,0.448,,0,0, -   ,9.73
Cyprus,2013,20940,18.25,0.453,,0,0, -   ,9.98
Cyprus,2014,20320,18.56,0.466,,0,0, -   ,9.91
Cyprus,2015,20810,18.99,0.637,847008,16084681.92,10245942.38," 5,838,740 ",6.89
Cyprus,2016,21930,19.34,0.623,848319,16406489.46,10221242.93," 6,185,247 ",7.29
Cyprus,2017,23230,20.47,0.65,854802,17497796.94,11373568.01," 6,124,229 ",7.16
Cyprus,2018,24660,19.97,0.543,864236,17258792.92,9371524.556," 7,887,268 ",9.13
Cyprus,2019,26110,20.63,0.505,875898,18069775.74,9125236.749," 8,944,539 ",10.21
Cyprus,2020,24630,20.28,0.486,888005,18008741.4,8752248.32," 9,256,493 ",10.42
Cyprus,2021,27850,22.89,0.379,896000,20509440,7773077.76," 12,736,362 ",14.21
Cyprus,2022,31270,23.97,0.391,904700,21685659,8479092.669," 13,206,566 ",14.60
Czechia,2011,15870,19.95,0.57,,0,0, -   ,8.58
Czechia,2012,15590,20.14,0.582,,0,0, -   ,8.42
Czechia,2013,15280,20.46,0.597,,0,0, -   ,8.25
Czechia,2014,15140,20.79,0.582,,0,0, -   ,8.69
Czechia,2015,16230,23.45,0.617,10419743,244342973.4,150759614.6," 93,583,359 ",8.98
Czechia,2016,17040,22.42,0.592,10445783,234194454.9,138643117.3," 95,551,338 ",9.15
Czechia,2017,18700,23.59,0.586,10467628,246931344.5,144701767.9," 102,229,577 ",9.77
Czechia,2018,20270,25.16,0.57,10493154,264007754.6,150484420.1," 113,523,334 ",10.82
Czechia,2019,21740,24.76,0.61,10528984,260697643.8,159025562.7," 101,672,081 ",9.66
Czechia,2020,20980,24.72,0.418,10557001,260969064.7,109085069.1," 151,883,996 ",14.39
Czechia,2021,23430,27.1,0.451,10574153,286559546.3,129238355.4," 157,321,191 ",14.88
Czechia,2022,26670,26.05,0.472,10545457,274709154.9,129662721.1," 145,046,434 ",13.75
Germany,2011,34230,34.58,0.463,,0,0, -   ,18.57
Germany,2012,34820,35.27,0.47,,0,0, -   ,18.69
Germany,2013,35550,35.63,0.468,,0,0, -   ,18.96
Germany,2014,36860,36.37,0.473,,0,0, -   ,19.17
Germany,2015,37770,37.36,0.474,81089331,3029497406,1435981771," 1,593,515,636 ",19.65
Germany,2016,38810,37.62,0.484,82064489,3087266076,1494236781," 1,593,029,295 ",19.41
Germany,2017,40300,38.53,0.48,82437641,3176322308,1524634708," 1,651,687,600 ",20.04
Germany,2018,41390,39.03,0.464,82719022,3228523429,1498034871," 1,730,488,558 ",20.92
Germany,2019,42540,39.11,0.433,82940663,3243809330,1404569440," 1,839,239,890 ",22.18
Germany,2020,41480,39.71,0.462,83100961,3299939161,1524571893," 1,775,367,269 ",21.36
Germany,2021,44190,41.09,0.484,83120520,3415422167,1653064329," 1,762,357,838 ",21.20
Germany,2022,47180,39.49,0.511,83203320,3285699107,1678992244," 1,606,706,863 ",19.31
Denmark,2011,44540,33.8,0.223,,0,0, -   ,26.26
Denmark,2012,45490,32.85,0.259,,0,0, -   ,24.34
Denmark,2013,46240,33.85,0.291,,0,0, -   ,24.00
Denmark,2014,47070,33.22,0.307,,0,0, -   ,23.02
Denmark,2015,47900,34.67,0.305,5653357,196001887.2,59780575.59," 136,221,312 ",24.10
Denmark,2016,49270,37.46,0.361,5700917,213556350.8,77093842.65," 136,462,508 ",23.94
Denmark,2017,51060,34.81,0.418,5743947,199946795.1,83577760.34," 116,369,035 ",20.26
Denmark,2018,51950,42.88,0.313,5774877,247626725.8,77507165.16," 170,119,561 ",29.46
Denmark,2019,53040,39.8,0.374,5799763,230830567.4,86330632.21," 144,499,935 ",24.91
Denmark,2020,53540,39.27,0.229,5816443,228411716.6,52306283.1," 176,105,434 ",30.28
Denmark,2021,58640,36.3,0.208,5833883,211769952.9,44048150.2," 167,721,803 ",28.75
Denmark,2022,64430,35.83,0.235,5864667,210131018.6,49380789.37," 160,750,229 ",27.41
Estonia,2011,12590,39.18,0.396,,0,0, -   ,23.66
Estonia,2012,13650,35.98,0.298,,0,0, -   ,25.26
Estonia,2013,14520,49.06,0.281,,0,0, -   ,35.27
Estonia,2014,15480,50.17,0.293,,0,0, -   ,35.47
Estonia,2015,16000,46.47,0.278,1313271,61027703.37,16965701.54," 44,062,002 ",33.55
Estonia,2016,16860,49.1,0.246,1315944,64612850.4,15894761.2," 48,718,089 ",37.02
Estonia,2017,18480,49.95,0.265,1315635,65715968.25,17414731.59," 48,301,237 ",36.71
Estonia,2018,20040,41.9,0.377,1319133,55271672.7,20837420.61," 34,434,252 ",26.10
Estonia,2019,21490,43.31,0.406,1324820,57377954.2,23295449.41," 34,082,505 ",25.73
Estonia,2020,20960,40.32,0.409,1328976,53584312.32,21915983.74," 31,668,329 ",23.83
Estonia,2021,23650,37.63,0.425,1330068,50050458.84,21271445.01," 28,779,014 ",21.64
Estonia,2022,27360,33.83,0.443,1331796,45054658.68,19959213.8," 25,095,445 ",18.84
Greece,2011,18320,18.71,0.33,,0,0, -   ,12.54
Greece,2012,16830,16.74,0.322,,0,0, -   ,11.35
Greece,2013,16240,16.55,0.323,,0,0, -   ,11.20
Greece,2014,16160,16.93,0.328,,0,0, -   ,11.38
Greece,2015,16210,16.99,0.368,10846979,184290173.2,67818783.74," 116,471,389 ",10.74
Greece,2016,16190,17.32,0.382,10793526,186943870.3,71412558.46," 115,531,312 ",10.70
Greece,2017,16490,17.5,0.414,10757293,188252627.5,77936587.79," 110,316,040 ",10.26
Greece,2018,16830,18.83,0.398,10738928,202214014.2,80481177.67," 121,732,837 ",11.34
Greece,2019,17270,20.76,0.376,10722287,222594678.1,83695598.97," 138,899,079 ",12.95
Greece,2021,17350,26.09,0.378,10709739,279417090.5,105619660.2," 173,797,430 ",16.23
Greece,2022,19650,24.65,0.318,10682547,263324783.6,83737281.17," 179,587,502 ",16.81
Spain,2011,22870,28.99,0.324,10603810,307404451.9,99599042.42," 207,805,409 ",19.60
Spain,2012,22160,27.89,0.351,,0,0, -   ,18.10
Spain,2013,22020,28.01,0.407,,0,0, -   ,16.61
Spain,2014,22380,30.53,0.425,,0,0, -   ,17.55
Spain,2015,23440,31.77,0.44,46439864,1475394479,649173570.9," 826,220,908 ",17.79
Spain,2016,24190,32.85,0.455,46438422,1525502163,694103484," 831,398,679 ",17.90
Spain,2017,25160,34.55,0.479,46528966,1607575775,770028796.4," 837,546,979 ",18.00
Spain,2018,25950,35.38,0.507,46659302,1650806105,836958695.1," 813,847,410 ",17.44
Spain,2019,26620,35.76,0.515,46934632,1678382440,864366956.8," 814,015,484 ",17.34
Spain,2020,23850,36,0.514,47329981,1703879316,875793968.4," 828,085,348 ",17.50
Spain,2021,26090,38.63,0.545,47394223,1830838834,997807164.8," 833,031,670 ",17.58
Spain,2022,28750,41.43,0.515,47432805,1965141111,1012047672," 953,093,439 ",20.09
Finland,2011,36680,21.74,0.254,,0,0, -   ,16.22
Finland,2012,37010,21.65,0.254,,0,0, -   ,16.15
Finland,2013,37410,21.65,0.227,,0,0, -   ,16.74
Finland,2014,37690,21.38,0.246,,0,0, -   ,16.12
Finland,2015,38350,21.27,0.237,5471753,116384186.3,27583052.16," 88,801,134 ",16.23
Finland,2016,39250,22.36,0.254,5465408,122206522.9,31040456.81," 91,166,066 ",16.68
Finland,2017,40790,23.66,0.265,5499447,130116916,34480982.75," 95,635,933 ",17.39
Finland,2018,42040,24.52,0.311,5501930,134907323.6,41956177.64," 92,951,146 ",16.89
Finland,2019,43200,24.22,0.42,5512119,133503522.2,56071479.32," 77,432,043 ",14.05
Finland,2020,42740,28.41,0.394,5521292,156859905.7,61802802.85," 95,057,103 ",17.22
Finland,2021,44890,29.94,0.429,5527493,165493140.4,70996557.24," 94,496,583 ",17.10
Finland,2022,47890,28.94,0.445,5541241,160363514.5,71361763.97," 89,001,751 ",16.06
France,2011,31700,31.2,0.233,,0,0, -   ,23.93
France,2012,31950,30.53,0.251,,0,0, -   ,22.87
France,2013,32280,30.09,0.256,,0,0, -   ,22.39
France,2014,32620,31.1,0.252,,0,0, -   ,23.26
France,2015,33200,32.06,0.255,66352469,2127260156,542451339.8," 1,584,808,816 ",23.88
France,2016,33530,32.65,0.258,66661621,2176501926,561537496.8," 1,614,964,429 ",24.23
France,2017,34290,34.8,0.265,67024633,2332457228,618101165.5," 1,714,356,063 ",25.58
France,2018,35080,35.09,0.269,67221943,2358817980,634522036.6," 1,724,295,943 ",25.65
France,2019,36090,35.47,0.269,67028048,2377484863,639543428," 1,737,941,435 ",25.93
France,2020,34280,35.67,0.214,67098824,2393415052,512190821.1," 1,881,224,231 ",28.04
France,2021,36920,36.75,0.231,67439614,2478405815,572511743.1," 1,905,894,071 ",28.26
France,2022,38920,35.75,0.252,67842582,2425372307,611193821.2," 1,814,178,485 ",26.74
Croatia,2012,10510,11.31,0.454,,0,0, -   ,6.18
Croatia,2013,10530,11.52,0.453,,0,0, -   ,6.30
Croatia,2014,10450,11.69,0.377,,0,0, -   ,7.28
Croatia,2015,10810,12.5,0.463,4225316,52816450,24454016.35," 28,362,434 ",6.71
Croatia,2016,11400,13.34,0.411,4190669,55903524.46,22976348.55," 32,927,176 ",7.86
Croatia,2017,12160,14.97,0.373,4154213,62188568.61,23196336.09," 38,992,233 ",9.39
Croatia,2018,12960,16.13,0.373,4105493,66221602.09,24700657.58," 41,520,945 ",10.11
Croatia,2019,13990,17.25,0.357,4076246,70315243.5,25102541.93," 45,212,702 ",11.09
Croatia,2020,12840,16.83,0.341,4058165,68298916.95,23289930.68," 45,008,986 ",11.09
Croatia,2021,14890,18.11,0.344,4036355,73098389.05,25145845.83," 47,952,543 ",11.88
Croatia,2022,17260,19.26,0.349,3862305,74387994.3,25961410.01," 48,426,584 ",12.54
Hungary,2011,10230,20.93,0.224,,0,0, -   ,16.24
Hungary,2012,10090,25.9,0.278,,0,0, -   ,18.70
Hungary,2013,10350,27.91,0.308,,0,0, -   ,19.31
Hungary,2014,10810,26.3,0.368,,0,0, -   ,16.62
Hungary,2015,11520,30.6,0.274,9855571,301580472.6,82633049.49," 218,947,423 ",22.22
Hungary,2016,11950,31.66,0.314,9830485,311233155.1,97727210.7," 213,505,944 ",21.72
Hungary,2017,13080,32.44,0.32,9797561,317832878.8,101706521.2," 216,126,358 ",22.06
Hungary,2018,14070,35.09,0.3,9778371,343123038.4,102936911.5," 240,186,127 ",24.56
Hungary,2019,15200,35.3,0.33,9772756,344978286.8,113842834.6," 231,135,452 ",23.65
Hungary,2020,14370,47.84,0.249,9769526,467374123.8,116376156.8," 350,997,967 ",35.93
Hungary,2021,16090,43.95,0.271,9730772,427667429.4,115897873.4," 311,769,556 ",32.04
Hungary,2022,17600,44.64,0.275,9689010,432517406.4,118942286.8," 313,575,120 ",32.36
Ireland,2011,37810,34.65,0.475,,0,0, -   ,18.19
Ireland,2012,38420,36.65,0.382,,0,0, -   ,22.65
Ireland,2013,39590,44.4,0.348,,0,0, -   ,28.95
Ireland,2014,43120,59.32,0.313,,0,0, -   ,40.75
Ireland,2015,57980,60.01,0.297,4625885,277599358.9,82447009.58," 195,152,349 ",42.19
Ireland,2016,58060,57.85,0.312,4664156,269821424.6,84184284.48," 185,637,140 ",39.80
Ireland,2017,63960,58.14,0.305,4774833,277608790.6,84670681.14," 192,938,109 ",40.41
Ireland,2018,68530,53.9,0.271,4830392,260358128.8,70557052.9," 189,801,076 ",39.29
Ireland,2019,73230,64.12,0.275,4904240,314459868.8,86476463.92," 227,983,405 ",46.49
Ireland,2020,75820,60.86,0.29,4964440,302135818.4,87619387.34," 214,516,431 ",43.21
Ireland,2021,88070,72.95,0.279,5006324,365211335.8,101893962.7," 263,317,373 ",52.60
Ireland,2022,100140,66.16,0.321,5060004,334769864.6,107461126.5," 227,308,738 ",44.92
Italy,2011,27610,34.57,0.361,,0,0, -   ,22.09
Italy,2012,27130,34.09,0.375,,0,0, -   ,21.31
Italy,2013,26880,33.87,0.368,,0,0, -   ,21.41
Italy,2014,27120,34.51,0.38,,0,0, -   ,21.40
Italy,2015,27620,35.34,0.411,61438480,2171235883,892377948," 1,278,857,935 ",20.82
Italy,2016,28360,36.84,0.424,61302519,2258384800,957555155.2," 1,300,829,645 ",21.22
Italy,2017,29070,37.86,0.418,61219113,2317755618,968821848.4," 1,348,933,770 ",22.03
Italy,2018,29690,38.11,0.434,61166142,2331041672,1011672085," 1,319,369,586 ",21.57
Italy,2019,30200,38.75,0.447,61068437,2366401934,1057781664," 1,308,620,269 ",21.43
Italy,2020,28100,37.16,0.512,60897891,2262965630,1158638402," 1,104,327,227 ",18.13
Italy,2021,31160,38.4,0.548,59862348,2298714163,1259695361," 1,039,018,802 ",17.36
Italy,2022,33860,39.45,0.546,59607184,2351503409,1283920861," 1,067,582,548 ",17.91
Lithuania,2011,10260,19.93,0.389,,0,0, -   ,12.18
Lithuania,2012,11120,19.97,0.389,,0,0, -   ,12.20
Lithuania,2013,11780,21.34,0.429,,0,0, -   ,12.19
Lithuania,2014,12400,22.83,0.512,,0,0, -   ,11.14
Lithuania,2015,12860,22.5,0.548,2921262,65728395,36019160.46," 29,709,235 ",10.17
Lithuania,2016,13490,22.8,0.744,2888558,65859122.4,48999187.07," 16,859,935 ",5.84
Lithuania,2017,14870,25.29,0.715,2847904,72023492.16,51496796.89," 20,526,695 ",7.21
Lithuania,2018,16300,26.91,0.693,2808901,75587525.91,52382155.46," 23,205,370 ",8.26
Lithuania,2019,17520,29.65,0.696,2794184,82847555.6,57661898.7," 25,185,657 ",9.01
Lithuania,2020,17890,30.64,0.561,2794090,85610917.6,48027724.77," 37,583,193 ",13.45
Lithuania,2021,20180,36.43,0.448,2795680,101846622.4,45627286.84," 56,219,336 ",20.11
Lithuania,2022,23820,37.81,0.441,2805998,106094784.4,46787799.91," 59,306,984 ",21.14
